Width,Height,NumSpheres,NumSamples,Time
512,512,200,10,10.54
512,512,200,10,11.94
512,512,200,10,14.212
512,512,200,10,15.769
512,512,200,10,18.384
512,512,200,10,23.012
512,512,200,10,27.105
512,512,200,10,33.412
512,512,200,10,38.425
512,512,200,10,38.947
512,512,200,10,42.291
512,512,200,10,50.775
512,512,200,10,52.819
512,512,200,10,49.731
512,512,200,10,56.516
512,512,200,10,65.173
512,512,200,10,66.278
512,512,200,10,59.695
512,512,200,10,63.243
512,512,200,10,67.71
1024,1024,200,10,33.46
1024,1024,200,10,68.468
1024,1024,200,10,133.818
